DateTime,VariableID,VariableValue,VariableName,VariableUnits
2016-09-04 13:37:06,3,42.262,latitude,degree
2016-09-04 13:37:06,34,B,argosLC,unitless
2016-09-06 03:05:50,2,-68.458,longitude,degree
2016-09-06 03:05:50,3,41.641,latitude,degree
2016-09-06 03:05:50,34,B,argosLC,unitless
2016-09-07 00:09:16,2,-68.332,longitude,degree
2016-09-07 00:09:16,3,41.307,latitude,degree
2016-09-07 00:09:16,34,0,argosLC,unitless
2016-09-07 02:48:43,2,-68.322,longitude,degree
2016-09-07 02:48:43,3,41.229,latitude,degree
2016-09-07 02:48:43,34,1,argosLC,unitless
2016-09-08 02:22:21,2,-68.352,longitude,degree
2016-09-08 02:22:21,3,41.375,latitude,degree
2016-09-08 02:22:21,34,B,argosLC,unitless
2016-09-08 09:06:50,2,-68.29,longitude,degree
2016-09-08 09:06:50,3,41.287,latitude,degree
2016-09-08 09:06:50,34,2,argosLC,unitless
2016-09-08 10:48:27,2,-68.214,longitude,degree
2016-09-08 10:48:27,3,41.218,latitude,degree
2016-09-08 10:48:27,34,3,argosLC,unitless
2016-09-09 06:56:37,2,-67.591,longitude,degree
2016-09-09 06:56:37,3,40.744,latitude,degree
2016-09-09 06:56:37,34,0,argosLC,unitless
2016-09-09 11:07:16,2,-67.536,longitude,degree
2016-09-09 11:07:16,3,40.702,latitude,degree
2016-09-09 11:07:16,34,A,argosLC,unitless
2016-09-09 11:13:51,2,-67.509,longitude,degree
2016-09-09 11:13:51,3,40.659,latitude,degree
2016-09-09 11:13:51,34,B,argosLC,unitless
2016-09-10 00:08:24,2,-67.161,longitude,degree
2016-09-10 00:08:24,3,40.402,latitude,degree
2016-09-10 00:08:24,34,1,argosLC,unitless
2016-09-10 00:54:05,2,-67.204,longitude,degree
2016-09-10 00:54:05,3,40.431,latitude,degree
2016-09-10 00:54:05,34,1,argosLC,unitless
2016-09-10 01:47:45,2,-67.203,longitude,degree
2016-09-10 01:47:45,3,40.454,latitude,degree
2016-09-10 01:47:45,34,A,argosLC,unitless
2016-09-10 03:27:06,2,-67.19,longitude,degree
2016-09-10 03:27:06,3,40.457,latitude,degree
2016-09-10 03:27:06,34,B,argosLC,unitless
2016-09-10 06:44:29,2,-67.005,longitude,degree
2016-09-10 06:44:29,3,40.5,latitude,degree
2016-09-10 06:44:29,34,1,argosLC,unitless
2016-09-10 08:25:39,2,-66.973,longitude,degree
2016-09-10 08:25:39,3,40.516,latitude,degree
2016-09-10 08:25:39,34,2,argosLC,unitless
2016-09-10 09:04:33,2,-66.958,longitude,degree
2016-09-10 09:04:33,3,40.52,latitude,degree
2016-09-10 09:04:33,34,B,argosLC,unitless
